Input Deck,phase-field_model,mobility_coefficients-1,mobility_coefficients-2,free-energy_barrier,gradient-energy_coefficient,composition_distribution-1,composition_distribution-2,composition_distribution-3,composition_distribution-4,domain-size_physical-1,domain-size_physical-2,domain-size_physical-3,domain-size_numerical-1,domain-size_numerical-2,domain-size_numerical-3,time-step_size,time-step_iterations,output_diary-data-1,output_diary-data-2,output_field-data-1,output_field-data-2,output_field-data-3,output_field-data-4,output_field-data-5,phase_field-1,phase_field-2,phase_field-3,phase_field-4,phase_field-5,phase_field-6,phase_field-7,phase_field-8,phase_field-9,phase_field-10,phase_field-11,phase_field-12,phase_field-13,Movie
workdir.43/in.cahn_hilliard,cahn_hilliard,95.9,86.9,1.0d0,1.0d0,-0.338,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.43/out.cahn_hilliard_phase_field.mp4
workdir.44/in.cahn_hilliard,cahn_hilliard,50.1,81.1,1.0d0,1.0d0,-0.0838,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.44/out.cahn_hilliard_phase_field.mp4
workdir.49/in.cahn_hilliard,cahn_hilliard,40.4,92.8,1.0d0,1.0d0,0.143,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.49/out.cahn_hilliard_phase_field.mp4
workdir.50/in.cahn_hilliard,cahn_hilliard,72.1,81.6,1.0d0,1.0d0,-0.0413,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.50/out.cahn_hilliard_phase_field.mp4
workdir.57/in.cahn_hilliard,cahn_hilliard,52.8,99.2,1.0d0,1.0d0,0.0867,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.57/out.cahn_hilliard_phase_field.mp4
workdir.62/in.cahn_hilliard,cahn_hilliard,76.2,6.42,1.0d0,1.0d0,-0.372,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.62/out.cahn_hilliard_phase_field.mp4
workdir.65/in.cahn_hilliard,cahn_hilliard,18.4,41.3,1.0d0,1.0d0,-0.266,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.65/out.cahn_hilliard_phase_field.mp4
workdir.68/in.cahn_hilliard,cahn_hilliard,22.1,89.5,1.0d0,1.0d0,-0.0134,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.68/out.cahn_hilliard_phase_field.mp4
workdir.71/in.cahn_hilliard,cahn_hilliard,23.8,44.1,1.0d0,1.0d0,0.23,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.71/out.cahn_hilliard_phase_field.mp4
workdir.76/in.cahn_hilliard,cahn_hilliard,56.7,24.6,1.0d0,1.0d0,0.00815,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.76/out.cahn_hilliard_phase_field.mp4
workdir.81/in.cahn_hilliard,cahn_hilliard,73.9,98.9,1.0d0,1.0d0,-0.0278,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.81/out.cahn_hilliard_phase_field.mp4
workdir.86/in.cahn_hilliard,cahn_hilliard,49.2,85.9,1.0d0,1.0d0,0.00766,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.86/out.cahn_hilliard_phase_field.mp4
workdir.92/in.cahn_hilliard,cahn_hilliard,47.6,89.2,1.0d0,1.0d0,-0.297,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.92/out.cahn_hilliard_phase_field.mp4
workdir.95/in.cahn_hilliard,cahn_hilliard,28.4,75.6,1.0d0,1.0d0,0.0302,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.95/out.cahn_hilliard_phase_field.mp4
workdir.98/in.cahn_hilliard,cahn_hilliard,15.9,72.6,1.0d0,1.0d0,-0.0469,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.98/out.cahn_hilliard_phase_field.mp4
