Input Deck,phase-field_model,mobility_coefficients-1,mobility_coefficients-2,free-energy_barrier,gradient-energy_coefficient,composition_distribution-1,composition_distribution-2,composition_distribution-3,composition_distribution-4,domain-size_physical-1,domain-size_physical-2,domain-size_physical-3,domain-size_numerical-1,domain-size_numerical-2,domain-size_numerical-3,time-step_size,time-step_iterations,output_diary-data-1,output_diary-data-2,output_field-data-1,output_field-data-2,output_field-data-3,output_field-data-4,output_field-data-5,phase_field-1,phase_field-2,phase_field-3,phase_field-4,phase_field-5,phase_field-6,phase_field-7,phase_field-8,phase_field-9,phase_field-10,phase_field-11,phase_field-12,phase_field-13,Movie
workdir.7/in.cahn_hilliard,cahn_hilliard,81.7,79.3,1.0d0,1.0d0,-0.259,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.7/out.cahn_hilliard_phase_field.mp4
workdir.15/in.cahn_hilliard,cahn_hilliard,79,18,1.0d0,1.0d0,0.211,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.15/out.cahn_hilliard_phase_field.mp4
workdir.18/in.cahn_hilliard,cahn_hilliard,69.9,89.4,1.0d0,1.0d0,0.0617,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.18/out.cahn_hilliard_phase_field.mp4
workdir.20/in.cahn_hilliard,cahn_hilliard,86.7,99.5,1.0d0,1.0d0,-0.0815,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.20/out.cahn_hilliard_phase_field.mp4
workdir.27/in.cahn_hilliard,cahn_hilliard,84.3,21.1,1.0d0,1.0d0,0.064,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.27/out.cahn_hilliard_phase_field.mp4
workdir.33/in.cahn_hilliard,cahn_hilliard,14.3,98.8,1.0d0,1.0d0,0.227,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.33/out.cahn_hilliard_phase_field.mp4
workdir.34/in.cahn_hilliard,cahn_hilliard,27.3,48.8,1.0d0,1.0d0,-0.358,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.34/out.cahn_hilliard_phase_field.mp4
workdir.37/in.cahn_hilliard,cahn_hilliard,83.4,85.2,1.0d0,1.0d0,0.371,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.37/out.cahn_hilliard_phase_field.mp4
workdir.39/in.cahn_hilliard,cahn_hilliard,45.6,90.7,1.0d0,1.0d0,0.312,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.39/out.cahn_hilliard_phase_field.mp4
workdir.40/in.cahn_hilliard,cahn_hilliard,41.3,55.4,1.0d0,1.0d0,-0.207,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,workdir.40/out.cahn_hilliard_phase_field.mp4
